"rok","January","February","March","April","May","June","July","August","September","October","November","December","YEAR"
1951,"6","7","4","7","3","7","6","10","9","2","10","10","8"
1952,"8","6","1","10","3","3","6","8","2","3","3","4","4"
1953,"6","6","6","8","6","9","8","4","6","9","6","6","7"
1954,"2","1","6","1","6","10","3","6","8","7","4","10","3"
1955,"5","4","3","1","2","3","6","8","8","6","6","7","4"
1956,"6","1","3","2","5","6","5","1","5","5","2","6","1"
1957,"7","9","6","5","2","9","7","3","3","7","7","5","6"
1958,"6","7","2","1","9","3","6","5","6","9","6","8","5"
1959,"7","5","9","8","5","6","10","7","3","4","4","6","7"
1960,"6","4","5","3","5","7","4","5","4","7","9","10","6"
1961,"5","9","10","10","3","9","3","3","9","10","6","3","8"
1962,"8","5","3","10","2","2","1","4","3","5","6","2","3"
1963,"1","2","3","6","9","7","8","8","9","6","10","3","3"
1964,"4","3","1","6","6","10","6","2","6","4","6","6","4"
1965,"7","3","4","4","1","6","2","1","8","4","1","7","2"
1966,"4","7","6","7","6","8","6","5","5","10","4","6","6"
1967,"4","8","10","5","8","5","8","6","10","10","6","4","8"
1968,"5","6","7","9","4","9","4","6","7","6","7","3","6"
1969,"3","4","2","4","8","6","7","4","7","6","9","1","3"
1970,"3","3","4","4","4","7","4","5","4","4","8","7","3"
1971,"5","8","4","6","10","3","6","9","2","6","4","10","6"
1972,"3","7","8","6","6","6","9","4","3","2","7","6","5"
1973,"6","8","7","3","5","5","6","6","6","3","3","5","5"
1974,"8","9","9","5","3","1","2","6","7","2","6","10","6"
1975,"10","6","8","4","7","4","7","8","10","5","3","7","9"
1976,"6","4","3","4","4","4","6","2","5","4","8","4","3"
1977,"6","8","10","3","4","7","3","3","1","8","8","5","6"
1978,"7","4","7","3","3","3","2","2","3","7","8","3","4"
1979,"3","3","6","4","8","10","1","4","6","3","5","9","4"
1980,"3","6","4","3","1","3","3","3","5","6","3","6","1"
1981,"5","6","9","3","8","7","5","4","7","6","6","3","5"
1982,"4","5","7","2","6","5","6","9","10","8","8","8","6"
1983,"10","5","8","9","9","6","8","7","8","7","4","5","9"
1984,"8","6","5","6","6","1","1","6","5","9","5","4","5"
1985,"1","2","5","6","9","1","4","6","4","6","2","9","2"
1986,"6","1","5","6","9","5","5","5","1","6","9","6","4"
1987,"1","6","1","5","3","4","5","1","6","7","7","7","1"
1988,"9","8","5","5","9","6","7","6","7","6","2","8","7"
1989,"10","10","10","9","7","4","6","6","9","9","3","8","10"
1990,"10","10","10","7","7","6","4","6","2","8","8","6","10"
1991,"8","3","9","5","1","2","8","7","8","5","6","5","6"
1992,"7","9","7","6","7","10","9","10","6","1","6","5","9"
1993,"9","6","5","9","10","4","4","3","4","6","1","9","6"
1994,"10","5","8","8","4","6","10","8","9","3","7","9","9"
1995,"6","10","6","6","5","6","10","7","6","9","3","2","6"
1996,"3","2","2","6","7","6","3","7","1","8","10","1","2"
1997,"4","9","6","2","6","6","6","10","6","3","5","6","6"
1998,"9","10","6","10","8","8","5","3","6","5","1","4","7"
1999,"9","6","9","9","6","8","9","6","10","6","4","7","9"
2000,"6","9","7","10","10","8","3","7","4","10","10","9","10"
2001,"7","7","6","6","8","2","9","10","3","10","5","3","7"
2002,"8","10","9","7","10","9","10","10","6","4","7","2","10"
2003,"6","3","6","5","10","10","9","10","8","1","9","8","8"
2004,"4","8","7","8","4","5","5","9","7","9","6","9","8"
2005,"9","4","4","8","6","5","9","5","10","8","5","6","7"
2006,"2","5","3","7","6","8","10","6","10","10","10","10","9"
2007,"10","7","10","9","10","10","7","9","6","5","4","6","10"
2008,"9","10","7","7","7","9","7","8","5","8","9","8","10"
2009,"5","6","6","10","6","4","8","9","9","3","10","4","8"
2010,"2","6","6","7","5","8","10","9","4","1","9","1","5"
2011,"7","4","6","10","8","10","6","9","10","7","6","10","9"
2012,"7","2","9","9","10","6","9","9","9","6","10","3","8"
2013,"5","6","2","6","9","9","8","9","4","9","9","10","8"
